id,_URI,instanceID,_PARENT_AURI,fh_1355_rr_c,fh_1355_rr_nc,fh_1355_rr_n,fh_13_55,fh_13_56,fh_13_56_1n,fh_13_56_2n,fh_13_56_3n_a,fh_13_56_3n_b,fh_13_57,fh_13_58,fh_13_59,fh_13_60,fh_13_61,fh_13_61_other,rta_form_id
46,uuid:58fc6163-b1a2-4eb4-8514-1893069b286d,uuid:3383e9e6-dcf9-441a-bc31-88adedac3f7a,uuid:3383e9e6-dcf9-441a-bc31-88adedac3f7a,1,st,"",1,1,0,1,0,0,1,1,0,0,"","",ML_FH_Household_Full_G1
47,uuid:5a80dc9a-63bd-4e16-918c-11c19ba25b05,uuid:e50a34c3-ff65-42c2-82b3-566aa963e182,uuid:e50a34c3-ff65-42c2-82b3-566aa963e182,1,st,"",2,0,0,1,0,1,1,0,1,0,"","",ML_FH_Household_Full_G1
48,uuid:5aa9f4e6-c14e-4ac9-9518-4d9fab61413a,uuid:d26aef2a-bcdc-4314-9818-64231eba94e9,uuid:d26aef2a-bcdc-4314-9818-64231eba94e9,1,st,"",3,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
49,uuid:5b2218e3-5fc9-46e1-8ca4-e6f006f43ffc,uuid:c14d45c6-7508-4e40-ae63-91c719e3e609,uuid:c14d45c6-7508-4e40-ae63-91c719e3e609,2,nd,"",3,0,0,0,0,0,1,1,0,0,"","",ML_FH_Household_Full_G1
50,uuid:5b7d9971-ff63-48d5-976e-686a56eb4068,uuid:663b50b5-2da6-4fc0-a94a-9f4e358d1da1,uuid:663b50b5-2da6-4fc0-a94a-9f4e358d1da1,1,st,"",3,0,0,1,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
51,uuid:5b9e7a90-3586-4c11-bcbf-95e3b5df9256,uuid:1bcb2d5e-44fe-47c3-a1db-42497a131967,uuid:1bcb2d5e-44fe-47c3-a1db-42497a131967,1,st,"",1,0,0,0,0,0,1,1,0,0,"","",ML_FH_Household_Full_G1
52,uuid:5d9f3922-1393-4eae-8be7-101851eb97c2,uuid:f475f791-c6fd-4d7b-bace-979608debb67,uuid:f475f791-c6fd-4d7b-bace-979608debb67,1,st,"",3,0,0,0,0,1,1,0,0,0,"","",ML_FH_Household_Full_G1
53,uuid:5e52050a-c0e1-4beb-b1d0-40f5007ce93e,uuid:73a734aa-b017-445d-91f6-891449d900de,uuid:73a734aa-b017-445d-91f6-891449d900de,1,st,"",3,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
54,uuid:5e74150b-cf56-415f-84df-dabe691cf279,uuid:75d23d9d-1e28-4098-9bbb-f111d6b6be6c,uuid:75d23d9d-1e28-4098-9bbb-f111d6b6be6c,1,st,"",1,0,0,0,0,0,1,0,1,0,"","",ML_FH_Household_Full_G1
55,uuid:5ec53861-845e-4028-b8d3-5de83205aedf,uuid:50163c5c-8094-4f89-bfa4-01ed4cfa2baf,uuid:50163c5c-8094-4f89-bfa4-01ed4cfa2baf,1,st,"",1,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
56,uuid:5ff5f728-b555-4af0-8b52-b33e772338e9,uuid:d2142939-c67f-426c-b25f-eefc8c0c216a,uuid:d2142939-c67f-426c-b25f-eefc8c0c216a,1,st,"",5,0,1,0,0,1,1,0,0,0,"","",ML_FH_Household_Full_G1
57,uuid:6213c931-ffd9-4929-89fd-433e8cecb702,uuid:400518a7-adf4-4e8d-b56b-6ffe6a3d55d7,uuid:400518a7-adf4-4e8d-b56b-6ffe6a3d55d7,1,st,"",3,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
58,uuid:633dcf44-9e96-40e7-ae91-34c156de7a1b,uuid:1939d98f-c1c8-4516-84ef-426cb5293a53,uuid:1939d98f-c1c8-4516-84ef-426cb5293a53,1,st,"",4,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
59,uuid:6735c731-5386-4d68-ae6b-cf7c77ad2145,uuid:5d164aa6-bb98-45ea-8882-5cca6e566bc7,uuid:5d164aa6-bb98-45ea-8882-5cca6e566bc7,1,st,"",1,0,0,0,1,0,1,0,1,0,"","",ML_FH_Household_Full_G1
60,uuid:6a5243fb-dc3a-4e02-a771-50cf13f158de,uuid:624761ba-7591-4e6c-8950-82b7079fe71f,uuid:624761ba-7591-4e6c-8950-82b7079fe71f,1,st,"",3,0,0,0,0,1,1,0,0,1,2,"",ML_FH_Household_Full_G1
61,uuid:6d1fbdc5-9a51-4323-90e3-e8a906dcc408,uuid:b971fa5c-a3dd-49cd-a525-d3cb611604f4,uuid:b971fa5c-a3dd-49cd-a525-d3cb611604f4,1,st,"",3,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
62,uuid:6e0eb626-c9f0-4112-90d7-40bcf7b16224,uuid:380df8e5-f0f7-4967-8984-23a18f5e3867,uuid:380df8e5-f0f7-4967-8984-23a18f5e3867,1,st,"",3,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
63,uuid:6ea0ede6-f66e-4381-9e01-4fffa51cc15f,uuid:a925cb52-7fb2-4d22-aea6-b01aa49a97f2,uuid:a925cb52-7fb2-4d22-aea6-b01aa49a97f2,1,st,"",2,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
64,uuid:72278e94-2d39-42ef-9f25-549f87dc574e,uuid:d3c6edd6-569d-4fd1-91d3-7d92a864345d,uuid:d3c6edd6-569d-4fd1-91d3-7d92a864345d,1,st,"",3,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
65,uuid:73745f27-c376-4460-a872-9d91a15fdb65,uuid:35f81a2e-88bd-4874-847b-d25b46367f97,uuid:35f81a2e-88bd-4874-847b-d25b46367f97,1,st,"",5,0,0,0,0,1,1,0,0,0,"","",ML_FH_Household_Full_G1
66,uuid:738feca5-8588-4503-b76c-8f44efca9659,uuid:c018c194-623a-42ca-bccd-8769896cb6e8,uuid:c018c194-623a-42ca-bccd-8769896cb6e8,1,st,"",3,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
67,uuid:751bb818-391c-4c75-834f-e4ae5ca85847,uuid:f497203c-7264-4a40-bc53-de8d552f4199,uuid:f497203c-7264-4a40-bc53-de8d552f4199,2,nd,"",2,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
68,uuid:77a9604f-0d5a-4532-96ef-66419ab18612,uuid:d0229bca-bd45-4d34-9998-97c96e3754ed,uuid:d0229bca-bd45-4d34-9998-97c96e3754ed,1,st,"",3,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
69,uuid:7b007709-aa3e-4906-b917-2f50ad8b2f57,uuid:d2a44d4d-6cbe-4486-94a9-d476dfc4fa8f,uuid:d2a44d4d-6cbe-4486-94a9-d476dfc4fa8f,1,st,"",4,0,0,0,0,0,1,1,0,1,2,"",ML_FH_Household_Full_G1
70,uuid:7bf1e49c-3f61-4cbc-909f-93c44666aafe,uuid:a482fbc9-a60e-4d24-ba75-d762ec41fc02,uuid:a482fbc9-a60e-4d24-ba75-d762ec41fc02,1,st,"",1,0,0,0,0,1,1,1,0,0,"","",ML_FH_Household_Full_G1
71,uuid:7d22b2e5-a063-4785-8d50-7c7da8c7c9af,uuid:abf7d99b-4032-455a-9665-bc1ac9a19222,uuid:abf7d99b-4032-455a-9665-bc1ac9a19222,1,st,"",3,0,0,0,0,0,1,3,0,0,"","",ML_FH_Household_Full_G1
72,uuid:7dfbf4c9-870c-4c04-a141-543ae93c4bd2,uuid:f44b0aa6-f883-42a5-ab47-ae2258d2f92d,uuid:f44b0aa6-f883-42a5-ab47-ae2258d2f92d,1,st,"",4,0,0,0,0,0,1,0,1,0,"","",ML_FH_Household_Full_G1
73,uuid:7e75566d-2b9d-4833-ac84-3679f321b51c,uuid:f0580ffc-cdf2-4c0f-9084-208eedc48288,uuid:f0580ffc-cdf2-4c0f-9084-208eedc48288,1,st,"",2,0,0,0,0,1,1,4,0,0,"","",ML_FH_Household_Full_G1
74,uuid:8325c4e1-0dbb-4c41-9864-3b51f1ee2259,uuid:ccab75b4-f699-4896-92ad-99af5b355167,uuid:ccab75b4-f699-4896-92ad-99af5b355167,1,st,"",1,0,0,0,0,0,1,60,0,0,"","",ML_FH_Household_Full_G1
75,uuid:87bc4771-0fda-45ac-a946-eee2a30c28b7,uuid:c55c1230-f912-4d8c-8c55-07ac06e70b01,uuid:c55c1230-f912-4d8c-8c55-07ac06e70b01,1,st,"",2,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
76,uuid:883539b8-9fc7-4287-bb48-8bf968376dac,uuid:4ca7f7e3-0428-4699-8d66-4fefa886af29,uuid:4ca7f7e3-0428-4699-8d66-4fefa886af29,1,st,"",3,0,0,0,0,0,1,1,0,0,"","",ML_FH_Household_Full_G1
77,uuid:890bed19-bdbe-4650-a63e-2d41127c3dd4,uuid:52377b8e-5074-4113-81ae-0c9460be9d2d,uuid:52377b8e-5074-4113-81ae-0c9460be9d2d,1,st,"",3,0,0,0,1,0,1,0,0,0,"","",ML_FH_Household_Full_G1
78,uuid:8bf0047a-e083-4065-8104-1242e62c3cb2,uuid:642c304a-5a37-4cc4-9317-49568ef1078c,uuid:642c304a-5a37-4cc4-9317-49568ef1078c,1,st,"",2,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
79,uuid:8e7029e1-69c8-4200-880e-bdbde8649066,uuid:98c12857-17df-43f4-bee2-9ea2f26cf7ee,uuid:98c12857-17df-43f4-bee2-9ea2f26cf7ee,1,st,"",2,0,0,0,0,0,1,1,0,0,"","",ML_FH_Household_Full_G1
80,uuid:954911cc-a898-4bf2-85d0-b1aba8aee65a,uuid:b92af4d0-878d-459f-8b66-eacd9ba9136a,uuid:b92af4d0-878d-459f-8b66-eacd9ba9136a,1,st,"",2,1,1,0,0,0,1,0,0,1,2,"",ML_FH_Household_Full_G1
81,uuid:9f1cdde3-62c0-474a-860b-a5647408b147,uuid:918df268-c04f-4bc9-b818-28dddd3495dd,uuid:918df268-c04f-4bc9-b818-28dddd3495dd,1,st,"",1,0,0,0,0,0,1,20,1,1,96,"He was given something to drink because the mum didnt have milk in the breast.",ML_FH_Household_Full_G1
82,uuid:a3f93fed-f4bb-4e29-a18a-afb97786a388,uuid:9bd5d586-268e-4dde-ad4c-c380852689a0,uuid:9bd5d586-268e-4dde-ad4c-c380852689a0,1,st,"",3,0,0,0,0,1,1,0,0,1,2,"",ML_FH_Household_Full_G1
83,uuid:a490cbee-39ec-4c01-81f8-ddcfd614ea74,uuid:68ee74ed-3604-4bae-9e9a-330c14a62385,uuid:68ee74ed-3604-4bae-9e9a-330c14a62385,1,st,"",5,1,1,0,0,0,1,100,1,0,"","",ML_FH_Household_Full_G1
84,uuid:a8a36edf-4c90-43a3-be5d-79d4f95fb5bf,uuid:d7da5983-8e9a-41cc-a63d-f440f56e1492,uuid:d7da5983-8e9a-41cc-a63d-f440f56e1492,1,st,"",3,0,0,1,0,0,1,0,1,0,"","",ML_FH_Household_Full_G1
85,uuid:a8d9482b-ffbb-4e5d-83c3-2b2285c55a7f,uuid:a678cf2e-1f0c-4c91-a7a4-6c2ebbe05dcd,uuid:a678cf2e-1f0c-4c91-a7a4-6c2ebbe05dcd,1,st,"",3,0,0,0,0,0,1,1,1,0,"","",ML_FH_Household_Full_G1
86,uuid:a9b21bdb-dbd9-48b8-84df-2261c6ada83e,uuid:2239b66d-8333-42fa-9bce-60799db514b3,uuid:2239b66d-8333-42fa-9bce-60799db514b3,1,st,"",3,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
87,uuid:ab05eec7-a5a1-45db-b2b8-3dc46212670c,uuid:3b59e7bc-7dbd-4de3-a331-2824082db148,uuid:3b59e7bc-7dbd-4de3-a331-2824082db148,1,st,"",3,1,0,0,1,1,1,1,0,0,"","",ML_FH_Household_Full_G1
88,uuid:ae4f395c-83c6-4cb3-b482-851db2ceed3a,uuid:64d3648c-1b9e-4cd6-9a1e-fb9a304154fd,uuid:64d3648c-1b9e-4cd6-9a1e-fb9a304154fd,1,st,"",4,1,0,0,0,0,1,100,0,0,"","",ML_FH_Household_Full_G1
89,uuid:afc10f27-1309-4ee2-acd1-3d9231eaf6e8,uuid:4ab50ed3-a869-4519-8a89-5e070d1b300c,uuid:4ab50ed3-a869-4519-8a89-5e070d1b300c,2,nd,"",4,0,1,0,0,1,1,0,0,0,"","",ML_FH_Household_Full_G1
90,uuid:b0a143ab-e473-4e0e-a108-0b04543c206e,uuid:44bd8d64-6846-4846-ab43-b571a7b35e55,uuid:44bd8d64-6846-4846-ab43-b571a7b35e55,1,st,"",2,0,0,0,0,0,1,0,1,0,"","",ML_FH_Household_Full_G1
91,uuid:b1f39c4b-ff2e-4ad5-ae6f-44d254e13fa6,uuid:28552337-de6c-446a-a2d8-d38691703d1a,uuid:28552337-de6c-446a-a2d8-d38691703d1a,1,st,"",1,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
92,uuid:b3863984-5f16-4e53-9710-6bf67a7af51c,uuid:cecd834f-ebd4-4f23-aaa3-3868d435aa6d,uuid:cecd834f-ebd4-4f23-aaa3-3868d435aa6d,1,st,"",3,0,0,0,0,0,1,0,0,1,8,"",ML_FH_Household_Full_G1
93,uuid:b56f0f4d-c71a-4966-b76a-dac85ba64173,uuid:80e9f397-b333-46ca-bcc8-55ddcd908d87,uuid:80e9f397-b333-46ca-bcc8-55ddcd908d87,1,st,"",2,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
94,uuid:b77b299b-ba5d-43f7-9b8e-59fb3db4353c,uuid:01cb57a5-bb53-4e1f-bf00-5e5be884abfe,uuid:01cb57a5-bb53-4e1f-bf00-5e5be884abfe,1,st,"",1,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
95,uuid:b8183564-4891-4725-9ae2-2ad09d43c20b,uuid:9e7315db-6f24-479c-9378-6bc94979004a,uuid:9e7315db-6f24-479c-9378-6bc94979004a,1,st,"",3,0,0,0,0,1,1,0,0,0,"","",ML_FH_Household_Full_G1
96,uuid:b8cbf315-f596-44c2-9017-44553aa6eef1,uuid:239cdd32-890d-494e-8cae-8637408a16bc,uuid:239cdd32-890d-494e-8cae-8637408a16bc,1,st,"",3,0,0,0,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
97,uuid:b9b03b0a-a151-4287-aead-04d1f594bd87,uuid:9c3c0ef4-1d64-4121-acfa-1a7983ed941c,uuid:9c3c0ef4-1d64-4121-acfa-1a7983ed941c,1,st,"",3,0,0,1,0,0,1,0,0,0,"","",ML_FH_Household_Full_G1
